dept,date,interest,reviewText,helpcount,nothelpcount
Chemistry,12/11/2010,Sorta interested,Lectures are very helpful but tests are very tricky,0,0
Religion,02/17/2009,Really into it,Bro Judd was a great man but the main thing that bugged me was I felt when he taught he always said quotYou dont need to know this I want you to know thisquot etc  I felt like he was telling us what we needed to know about the BoM and this bugged just a little,0,0
Mathematics,04/01/2005,Meh,He is a very nice person but not a very good professor He knows what he is talking about and will try to help you but does not have very good communication skills But like any other math class you do not need to go to lectures if you can figure it out on your own from the book,0,0
Physics,12/13/2013,Really into it,I have always been interested in the topic of climate change and first taking this class the topic was very interesting and its very much still is but I dont get very much out of his class  He is a great person and he knows his stuff but his teaching is not very clear,0,0
English,02/28/2013,Really into it,Sister Scott means well but does nothing towards teaching you the basics of what you need to know for writing college papers If you address an issue with her expect to just deal with it I dont recommend this course,0,0
Mathematics,02/18/2007,Sorta interested,A smart guy a decent teacher,0,0
Fine Arts,04/18/2008,Sorta interested,I took this class thinking it would be fun its not All you do all class is look at slides and take notes Work load is really easy though there is only one project and a few tests that werent hard at all The teacher is funny to watch though,0,0
Fine Arts,04/29/2006,Really into it,She is a difficult teacher but she gives you numerous opportunities to suceed,0,0
Sociology,12/08/2008,Really into it,Its such a lonnnng lecture that you kind of lose interest Interesting at times but otherwise its pretty dull The discussion sections really help Overall I would only take this if you love politics and are really liberal,0,0
Anthropology,08/24/2006,Really into it,I dont think he cared at all about teaching Anthro 100 He just slapped the books on us and showed us a video every other class His lectures were stream of conscious and confusing Im sure hed be a great teacher for any other class he had that potential but beware if you get him for Anthro 100 If so read the books,0,0
English,01/03/2012,Really into it,On the positive hes a nice guy very smart he grades fairly and his comments on papers are helpful and indepth However his lectures are impossible to follow and often boring Very little discussion which is very offputting for an English class His ideas will be the only ones youll hear,0,0
Economics,01/28/2009,Really into it,Good teacher lectures are a lot of fun Dont let him intimidate you or look down at you If youre good at multiple choice then the tests are easy Otherwise I hear that theyre really hard,0,0
Philosophy,12/11/2005,Sorta interested,Foster is HILARIOUS A brilliant logician but scatterbrained and difficult to follow The material was out of my league to begin with and taking the class from him made things difficult to grasp The overall experience was great and Im glad I took the class from him Make sure to do the homework to stay on top even though he doesnt grade it,0,0
Chemistry,12/18/2012,It's my life,Callams lectures for the lab class were much better than Pauls You will have an endless amount of pointless powerpoint slides save some paper and just bring your computer 2540 had no quizzesmidterms The class needs some restructuring Work load was high for 2 credit hr course,0,0
